BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,CONTRIBUTING FACTOR VEHICLE 1,COLLISION_ID,VEHICLE TYPE CODE 1,CRASH_DATETIME,hour,day,month
QUEENS,11105.0,40.77797,-73.91799,"(40.77797, -73.91799)",1,0,Driver Inattention/Distraction,4702922,Sedan,2024-02-15 19:29:00,19,3,2
QUEENS,11367.0,40.73978,-73.828255,"(40.73978, -73.828255)",0,0,Unspecified,4703366,Sedan,2024-02-15 11:50:00,11,3,2
QUEENS,11374.0,40.73365,-73.855125,"(40.73365, -73.855125)",2,0,Failure to Yield Right-of-Way,4702940,Station Wagon/Sport Utility Vehicle,2024-02-15 09:45:00,9,3,2
QUEENS,11418.0,40.69883,-73.820724,"(40.69883, -73.820724)",1,0,Failure to Yield Right-of-Way,4702745,Sedan,2024-02-15 07:55:00,7,3,2
QUEENS,11419.0,40.69405,-73.82802,"(40.69405, -73.82802)",0,0,Unsafe Lane Changing,4702860,Sedan,2024-02-15 15:50:00,15,3,2
QUEENS,11419.0,40.683662,-73.82578,"(40.683662, -73.82578)",1,0,Unspecified,4703408,Sedan,2024-02-15 18:00:00,18,3,2
QUEENS,11385.0,40.70041,-73.90368,"(40.70041, -73.90368)",1,0,Following Too Closely,4702726,Pick-up Truck,2024-02-15 07:15:00,7,3,2
QUEENS,11355.0,40.750477,-73.815834,"(40.750477, -73.815834)",0,0,Failure to Yield Right-of-Way,4702988,Station Wagon/Sport Utility Vehicle,2024-02-15 13:30:00,13,3,2
QUEENS,11377.0,40.754276,-73.90902,"(40.754276, -73.90902)",0,0,Turning Improperly,4703103,Sedan,2024-02-15 20:10:00,20,3,2
QUEENS,11367.0,40.71802,-73.815926,"(40.71802, -73.815926)",0,0,Unspecified,4702848,Station Wagon/Sport Utility Vehicle,2024-02-15 09:50:00,9,3,2
QUEENS,11419.0,40.685593,-73.82579,"(40.685593, -73.82579)",0,0,Driver Inattention/Distraction,4703412,Station Wagon/Sport Utility Vehicle,2024-02-15 21:00:00,21,3,2
QUEENS,11418.0,40.707954,-73.83715,"(40.707954, -73.83715)",0,0,Failure to Yield Right-of-Way,4702738,Pick-up Truck,2024-02-15 06:52:00,6,3,2
QUEENS,11374.0,40.711597,-73.85819,"(40.711597, -73.85819)",0,0,Driver Inattention/Distraction,4702939,Sedan,2024-02-15 13:54:00,13,3,2
QUEENS,11373.0,40.731182,-73.871605,"(40.731182, -73.871605)",1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,4702899,Sedan,2024-02-15 18:15:00,18,3,2
QUEENS,11106.0,40.762825,-73.93398,"(40.762825, -73.93398)",1,0,Traffic Control Disregarded,4703258,Station Wagon/Sport Utility Vehicle,2024-02-15 17:49:00,17,3,2
QUEENS,11365.0,40.7426,-73.78752,"(40.7426, -73.78752)",1,0,Driver Inexperience,4702755,Sedan,2024-02-15 08:41:00,8,3,2
QUEENS,11691.0,40.608143,-73.764,"(40.608143, -73.764)",0,0,Reaction to Uninvolved Vehicle,4703060,Sedan,2024-02-15 20:30:00,20,3,2
QUEENS,11372.0,40.75277,-73.87257,"(40.75277, -73.87257)",0,0,Driver Inattention/Distraction,4703190,Sedan,2024-02-15 22:45:00,22,3,2
QUEENS,11385.0,40.697433,-73.898605,"(40.697433, -73.898605)",2,0,Failure to Yield Right-of-Way,4702771,Station Wagon/Sport Utility Vehicle,2024-02-15 08:40:00,8,3,2
QUEENS,11412.0,40.69997,-73.76351,"(40.69997, -73.76351)",0,0,Unsafe Speed,4703063,Sedan,2024-02-15 19:25:00,19,3,2
QUEENS,11105.0,40.773376,-73.89474,"(40.773376, -73.89474)",0,0,Aggressive Driving/Road Rage,4703259,Sedan,2024-02-15 02:10:00,2,3,2
QUEENS,11423.0,40.708595,-73.779686,"(40.708595, -73.779686)",0,0,Driver Inattention/Distraction,4702670,Sedan,2024-02-15 04:45:00,4,3,2
QUEENS,11372.0,40.754974,-73.89095,"(40.754974, -73.89095)",3,0,Unsafe Lane Changing,4702999,Sedan,2024-02-15 10:03:00,10,3,2
QUEENS,11420.0,40.681026,-73.80843,"(40.681026, -73.80843)",1,0,Driver Inattention/Distraction,4703805,Station Wagon/Sport Utility Vehicle,2024-02-15 19:30:00,19,3,2
QUEENS,11412.0,40.69802,-73.7623,"(40.69802, -73.7623)",1,0,Turning Improperly,4704017,Sedan,2024-02-15 14:15:00,14,3,2
QUEENS,11362.0,40.760853,-73.72294,"(40.760853, -73.72294)",1,0,Driver Inattention/Distraction,4704408,Station Wagon/Sport Utility Vehicle,2024-02-15 15:00:00,15,3,2
QUEENS,11423.0,40.718887,-73.76447,"(40.718887, -73.76447)",0,0,Passing Too Closely,4704472,Sedan,2024-02-15 15:40:00,15,3,2
QUEENS,11103.0,40.760098,-73.914536,"(40.760098, -73.914536)",0,0,Unspecified,4704802,Sedan,2024-02-15 01:30:00,1,3,2
QUEENS,11101.0,40.756886,-73.92291,"(40.756886, -73.92291)",2,0,Backing Unsafely,4704791,FLATBED TO,2024-02-15 11:20:00,11,3,2
QUEENS,11385.0,40.70284,-73.90529,"(40.70284, -73.90529)",1,0,Failure to Yield Right-of-Way,4703477,Sedan,2024-02-16 19:20:00,19,4,2
QUEENS,11372.0,40.75285,-73.89341,"(40.75285, -73.89341)",2,0,Driver Inattention/Distraction,4703476,Moped,2024-02-16 21:00:00,21,4,2
QUEENS,11436.0,40.683594,-73.80345,"(40.683594, -73.80345)",2,0,Driver Inattention/Distraction,4703182,Sedan,2024-02-16 21:30:00,21,4,2
QUEENS,11366.0,40.725285,-73.79333,"(40.725285, -73.79333)",0,0,Unspecified,4703069,Station Wagon/Sport Utility Vehicle,2024-02-16 08:40:00,8,4,2
QUEENS,11432.0,40.708447,-73.800224,"(40.708447, -73.800224)",1,0,Unspecified,4702978,Station Wagon/Sport Utility Vehicle,2024-02-16 08:30:00,8,4,2
